strId              count           possiblyCount
"Ы!";      89; 1092774;
"КС";      89; 1092774;
"Я?";      89; 1092774;
"СТЛ";      88; 1092772;
"РУЮ";      88; 1092772;
"ЬТ";      88; 1092774;
"ТТ";      88; 1092774;
"Ш ";      87; 1092774;
"РСК";      87; 1092772;
"РТЕ";      87; 1092772;
"З-";      87; 1092774;
"ОЦ";      87; 1092774;
"О:";      85; 1092774;
"САВ";      85; 1092772;
"САТ";      85; 1092772;
"ЧО";      85; 1092774;
"К!";      84; 1092774;
".С";      84; 1092774;
"РЦ";      84; 1092774;
"СРЕ";      82; 1092772;
"ЯЮ";      82; 1092774;
"ТИ.";      82; 1092772;
"РЯН";      82; 1092772;
" !";      82;  678676;
"Е:";      81; 1092774;
"ДП";      81; 1092774;
"ЛЛ";      81; 1092774;
"БС";      81; 1092774;
"ССТ";      80; 1092772;
"РЛ";      80; 1092774;
"ФО";      80; 1092774;
"Л:";      79; 1092774;
"РЫТ";      79; 1092772;
"".";      79;  678676;
"1";      78; 1092776;
"Ж,";      78; 1092774;
"ЩУ";      77; 1092774;
"СОР";      76; 1092772;
"РЬЯ";      76; 1092772;
"ЬИ";      76; 1092774;
"ЯЦ";      76; 1092774;
"ТП";      76; 1092774;
"ЙК";      75; 1092774;
"СИН";      75; 1092772;
"М!";      74; 1092774;
"ЗЮ";      74; 1092774;
"ЮЛ";      74; 1092774;
"УЯ";      74; 1092774;
".Ч";      74; 1092774;
"ПН";      73; 1092774;
"0";      73; 1092776;
"ИА";      73; 1092774;
"ЙШ";      73; 1092774;
"СОТ";      72; 1092772;
"ТУ.";      72; 1092772;
"ТО?";      72; 1092772;
"Ф ";      71;  678676;
"ДМ";      71; 1092774;
"РУШ";      70; 1092772;
"-З";      70; 1092774;
".Т";      70; 1092774;
"ТО.";      69; 1092772;
"Д.";      68; 1092774;
"БЪ";      68; 1092774;
"СВЯ";      68; 1092772;
"РТО";      67; 1092772;
"ПТ";      66; 1092774;
"ЮЧ";      66; 1092774;
".Д";      66; 1092774;
"СКЛ";      66; 1092772;
"-Г";      66; 1092774;
"РП";      66; 1092774;
"РУЧ";      65; 1092772;
"ЮН";      65; 1092774;
"!"";      65;  678676;
"БЬ";      65; 1092774;
"З,";      65; 1092774;
"СЯ!";      65; 1092772;
"Ь:";      65; 1092774;
"ССИ";      65; 1092772;
"ФЛ";      65; 1092774;
"СЮ ";      64; 1092772;
"БМ";      64; 1092774;
"Т?";      64; 1092774;
"СЫП";      63; 1092772;
"М-";      63; 1092774;
"СНА";      63; 1092772;
"ВЧ";      62; 1092774;
"Я:";      62; 1092774;
"-П";      62; 1092774;
"СЧИ";      61; 1092772;
"ЫЗ";      61; 1092774;
"?.";      61; 1092774;
"СШ";      61; 1092774;
"СЫ ";      61; 1092772;
"РТУ";      60; 1092772;
"ШП";      60; 1092774;
"И:";      60; 1092774;
"ХЕ";      60; 1092774;
"ЪЯ";      60; 1092774;
"ЛТ";      59; 1092774;
"М?";      59; 1092774;
"РЩ";      59; 1092774;
"-О";      59; 1092774;
"СПЫ";      59; 1092772;
"РТЫ";      59; 1092772;
